Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"Holbrook BD. The effects of nicotine  on human  fetal development. Birth Defects Research. Part C, Embryo Today: Reviews 2016;108(2):181–92.","Holbrook, BD (2016)",NA,EmbryoToday:Reviews2016;108(2):181–92.,NA,"the effects of nicotine on human fetal development. Birth Defects Research. Part C,",Holbrook BD,NA,NA,1,Journal article,0
"Iniguez SD, Warren BL, Parise EM, Alcantara LF, Schuh B, Maffeo ML, Manojlovic Z, Bolanos-Guzman CA. Nicotine exposure  during  adolescence  induces  a  depression- like  state  in  adulthood.  Neuropsychopharmacology 2009;34(6):1609–24.","Iniguez, SD et al. (2009)",NA,Neuropsychopharmacology2009;34(6):1609–24.,NA,Nicotine exposure during adolescence induces a depression like state in adulthood.,"Iniguez SD, Warren BL, Parise EM, Alcantara LF, Schuh B, Maffeo ML, Manojlovic Z, Bolanos-Guzman CA.",NA,NA,1,Journal article,0
Ino  T.  Maternal  smoking  during   pregnancy  and  off- spring obesity: meta-analysis. Pediatrics International 2010;52(1):94–9.,"Ino, T (2010)",NA,PediatricsInternational2010;52(1):94–9.,NA,Maternal smoking during pregnancy and off spring obesity: meta analysis.,Ino T,NA,NA,1,Journal article,0
"International Agency for Research on Cancer. IARC Monographs on the Evaluation of Carcinogenic Risks to Humans: A Review of Human  Carcinogens. Part F: Chemical agents and related occupations. Vol. 100F. Lyon (France): International Agency for Research on Cancer, 2009.",International Agency for Research on Cancer (2009),NA,"Vol.100F.Lyon(France):InternationalAgencyforResearchonCancer,2009.",NA,IARC Monographs on the Evaluation of Carcinogenic Risks to Humans: A Review of Human Carcinogens. Part F: Chemical agents and related occupations.,International Agency for Research on Cancer,NA,NA,1,Journal article,0
"International Agency for Research on Cancer. IARC Monographs   on   the   Evaluation   of   Carcinogenic Risks to Humans: Tobacco Smoke and Involuntary Smoking.  Vol. 83. Lyon (France): International Agency for Research on Cancer, 2004.",International Agency for Research on Cancer (2004),NA,"Lyon(France):InternationalAgencyforResearchonCancer,2004.",NA,IARC Monographs on the Evaluation of Carcinogenic Risks to Humans: Tobacco Smoke and Involuntary Smoking. Vol. 83,International Agency for Research on Cancer.,NA,NA,1,Journal article,0
"Jayaprakasha GK, Rao LJ. Chemistry, biogenesis, and biological activities of Cinnamomum  zeylanicum. Critical  Reviews   in   Food  Science   and   Nutrition 2011;51(6):547–62.","Jayaprakasha, GK and Rao, LJ (2011)",10.1080/10408391003699550,CriticalReviewsinFoodScienceandNutrition2011;51(6):547–62.,NA,"Chemistry, biogenesis, and biological activities of cinnamomum zeylanicum",Jayaprakasha G.,Critical Reviews in Food Science and Nutrition,SCOPUS_ID:79959308704,1,Journal article,0
"Kandel D, Kandel E. The Gateway Hypothesis of substance abuse: developmental, biological and societal perspec- tives. Acta Paediatrica 2015;104(2):130–7.","Kandel, DB and Kandel, ER (2015)",10.1111/apa.12851,ActaPaediatrica2015;104(2):130–7.,NA,"The Gateway Hypothesis of substance abuse: Developmental, biological and societal perspectives",Kandel D.,"Acta Paediatrica, International Journal of Paediatrics",SCOPUS_ID:84921607104,1,Journal article,0
"Kleykamp BA, Jennings JM, Sams C, Weaver MF, Eissenberg T. The influence of transdermal nicotine on tobacco/nic- otine abstinence and the effects of a concurrently admin- istered cigarette in women and men. Experimental  and Clinical Psychopharmacology 2008;16(2):99–112.","Kleykamp, BA et al. (2008)",10.1037/1064-1297.16.2.99,ExperimentalandClinicalPsychopharmacology2008;16(2):99–112.,NA,The Influence of Transdermal Nicotine on Tobacco/Nicotine Abstinence and the Effects of a Concurrently Administered Cigarette in Women and Men,Kleykamp B.,Experimental and Clinical Psychopharmacology,SCOPUS_ID:43549121047,1,Journal article,0
"Latimer K, Wilson P, Kemp J, Thompson L, Sim F, Gillberg C, Puckering C, Minnis H. Disruptive behaviour disor- ders: a systematic review of environmental  antenatal and early years risk factors. Child: Care, Health  and Development 2012;38(5):611–28.","Latimer, K et al. (2012)",10.1111/j.1365-2214.2012.01366.x,"Child:Care,HealthandDevelopment2012;38(5):611–28.",NA,Disruptive behaviour disorders: A systematic review of environmental antenatal and early years risk factors,Latimer K.,"Child: Care, Health and Development",SCOPUS_ID:84864774777,1,Journal article,0
"Lee S, Kimm  H, Yun  JE, Jee SH. Public  health  chal- lenges  of electronic  cigarettes  in  South  Korea. Journal  of  Preventive  Medicine  and  Public  Health 2011;44(6):235–41.","Lee, S et al. (2011)",NA,JournalofPreventiveMedicineandPublicHealth2011;44(6):235–41.,NA,Public health challenges of electronic cigarettes in South Korea,"Lee S, Kimm H, Yun JE, Jee SH.",NA,NA,1,Journal article,0
"Lee SC, Stokkeland  KL, Cole JB, Bangh SA. Electronic cigarettes: A safe way to light up? Clinical Toxicology 2014;52:777.","Lee, SC et al. (2014)",NA,ClinicalToxicology2014;52:777.,NA,Electronic cigarettes: A safe way to light up?,"Lee SC, Stokkeland KL, Cole JB, Bangh SA",NA,NA,1,Journal article,0
"Liang K, Poytress BS, Chen Y, Leslie FM, Weinberger NM, Metherate R. Neonatal nicotine exposure impairs nico- tinic enhancement of central auditory processing and auditory learning in adult rats. European Journal of Neuroscience 2006;24(3):857–66.","Liang, K et al. (2006)",10.1111/j.1460-9568.2006.04945.x,EuropeanJournalofNeuroscience2006;24(3):857–66.,NA,Neonatal nicotine exposure impairs nicotinic enhancement of central auditory processing and auditory learning in adult rats,Liang K.,European Journal of Neuroscience,SCOPUS_ID:33747170831,1,Journal article,0
"Lim HH, Shin HS. Measurement of aldehydes in replace- ment liquids of electronic cigarettes by headspace gas chromatography-mass  spectrometry. Bulletin of the Korean Chemical Society 2013;34(9):2691–6.","Lim, HH and Shin, HS (2013)",10.5012/bkcs.2013.34.9.2691,BulletinoftheKoreanChemicalSociety2013;34(9):2691–6.,NA,Measurement of aldehydes in replacement liquids of electronic cigarettes by headspace gas chromatography-mass spectrometry,Lim H.,Bulletin of the Korean Chemical Society,SCOPUS_ID:84885408615,1,Journal article,0
"Lindsay GB, Rainey J. Psychosocial and  pharmacologic explanations of nicotine’s “gateway drug” function. Journal of School Health 1997;67(4):123–6.","Lindsay, GB and Rainey, J (1997)",NA,JournalofSchoolHealth1997;67(4):123–6.,NA,Psychosocial and pharmacologic explanations of nicotine’s “gateway drug” function.,"Lindsay GB, Rainey J.",NA,NA,1,Journal article,0
"Luck W, Nau H, Hansen R, Steldinger R. Extent of nico- tine and cotinine transfer to the human fetus, placenta and amniotic fluid of smoking mothers. Developmental Pharmacology and Therapeutics 1985;8(6):384–95.","Luck, W et al. (1985)",10.1159/000457063,DevelopmentalPharmacologyandTherapeutics1985;8(6):384–95.,NA,"Extent of nicotine and cotinine transfer to the human fetus, placenta and amniotic fluid of smoking mothers",Luck W.,Developmental Pharmacology and Therapeutics,SCOPUS_ID:0022394171,1,Journal article,0
"Mao J, Liu J, Pang X, Li M, Song J, Han C, Wu D, Wang S. Nicotine induces the expression of C-reactive protein via MAPK-dependent signal pathway in U937 macro- phages. Molecules and Cells 2012;34(5):457–61.","Mao, J et al. (2012)",NA,MoleculesandCells2012;34(5):457–61.,NA,Nicotine induces the expression of Creactive protein via MAPK dependent signal pathway in U937 macro- phages.,"Mao J, Liu J, Pang X, Li M, Song J, Han C, Wu D, Wang S.",NA,NA,1,Journal article,0
"Nelson EE, Leibenluft E, McClure EB, Pine DS. The social re-orientation of adolescence: a neuroscience  perspec- tive on the process and its relation to psychopathology. Psychological Medicine 2005;35(2):163–74.","Nelson, EE et al. (2005)",NA,PsychologicalMedicine2005;35(2):163–74.,NA,The social reorientation of adolescence: a neuroscience perspective on the process and its relation to psychopathology.,"Nelson EE, Leibenluft E, McClure EB, Pine DS.",NA,NA,1,Journal article,0
"Newman MB, Shytle RD, Sanberg PR. Locomotor behav- ioral effects of prenatal  and postnatal  nicotine  expo- sure   in   rat   offspring.  Behavioural   Pharmacology 1999;10(6–7):699–706.","Newman, MB et al. (1999)",10.1097/00008877-199911000-00017,BehaviouralPharmacology1999;10(6–7):699–706.,NA,Locomotor behavioral effects of prenatal and postnatal nicotine exposure in rat offspring,Newman M.,Behavioural Pharmacology,SCOPUS_ID:0033397684,1,Journal article,0
"Nomura Y, Gilman SE, Buka SL. Maternal smoking during pregnancy  and  risk  of alcohol  use  disorders  among adult  offspring.  Journal  of  Studies  on  Alcohol  and Drugs 2011;72(2):199–209.","Nomura, Y et al. (2011)",NA,JournalofStudiesonAlcoholandDrugs2011;72(2):199–209.,NA,Maternal smoking during pregnancy and risk of alcohol use disorders among adult offspring,"Nomura Y, Gilman SE, Buka SL.",NA,NA,1,Journal article,0
"Poon  K, Leibowitz SF.  Consumption   of substances  of abuse during pregnancy increases consumption  in off- spring: possible underlying mechanisms.  Frontiers in Nutrition 2016;3:11.","Poon, K and Leibowitz, SF (2016)",NA,FrontiersinNutrition2016;3:11.,NA,Consumption of substances of abuse during pregnancy increases consumption in offspring: possible underlying mechanisms.,"Poon K, Leibowitz SF.",NA,NA,1,Journal article,0
"Quaranta L, Sabatelli M, Madia F, Lippi G, Conte A, Gazzetta F, Tonali P. Expanding the nosology of hypermelinating neuropathies:  description of two new entities. Journal of the Peripheral Nervous System  2002;7(1):82–3.","Quaranta, L et al. (2002)",NA,JournalofthePeripheralNervousSystem2002;7(1):82–3.,NA,Expanding the nosology of hypermelinating neuropathies: description of two new entities.,"Quaranta L, Sabatelli M, Madia F, Lippi G, Conte A, Gazzetta F, Tonali P.",NA,NA,1,Journal article,0
"Roberts SM, James RC, Williams PL, editors. Principles of Toxicology:     Environmental      and     Industrial Applications. 3rd ed. Hoboken (NJ): Wiley, 2015.","Roberts, SM et al. (2015)",NA,"3rded.Hoboken(NJ):Wiley,2015.",NA,Principles of Toxicology: Environmental and Industrial Applications.,"Roberts SM, James RC, Williams PL,",NA,NA,1,Journal article,0
"Schneider  S, Diehl K. Vaping as a catalyst for smoking? An initial  model  on  the  initiation  of electronic  cig- arette   use  and  the  transition   to  tobacco  smoking among   adolescents.   Nicotine   &  Tobacco  Research 2016;18(5):647–53.","Schneider, S and Diehl, K (2016)",NA,Nicotine&TobaccoResearch2016;18(5):647–53.,NA,Vaping as a catalyst for smoking? An initial model on the initiation of electronic cigarette use and the transition to tobacco smoking among adolescents.,"Schneider S, Diehl K.",NA,NA,1,Journal article,0
"Suter MA, Mastrobattista J, Sachs M, Aagaard K. Is there evidence for potential harm of electronic cigarette use in pregnancy? Birth Defects Research Part A: Clinical and Molecular Teratology 2015;103(3):186–95.","Suter, MA et al. (2015)",NA,ClinicalandMolecularTeratology2015;103(3):186–95.,NA,Is there evidence for potential harm of electronic cigarette use in pregnancy? Birth Defects Research Part A,"Suter MA, Mastrobattista J, Sachs M, Aagaard K.",NA,NA,1,Journal article,0
"Thranifar P, Liao Y, Ferris JS, Terry MB. Life course socio- economic  conditions,  passive tobacco exposures  and cigarette smoking in a multiethnic birth cohort of U.S. women. Cancer Causes and Control 2009;20(6):867–76.","Thranifar, P et al. (2009)",NA,CancerCausesandControl2009;20(6):867–76.,NA,"Life course socio-economic conditions, passive tobacco exposures and cigarette smoking in a multiethnic birth cohort of U.S. women","Thranifar P, Liao Y, Ferris JS, Terry MB",NA,NA,1,Journal article,0
"Varlet  V,  Farsalinos  K, Augsburger M, Thomas A,  Etter JF. Toxicity assessment  of refill liquids for electronic cigarettes. International  Journal of Environmental Research and Public Health 2015;12(5):4796–815.","Varlet, V et al. (2015)",NA,www.pharmacopeia.cn/v29240/usp29nf24s0_m56620.html,NA,"Nicotine,",U.S. Pharmacopeia.,NA,NA,1,Journal article,0
"Warshaw EM, Botto NC, Maibach HI, Fowler JF Jr, Rietschel RL, Zug KA, Belsito DV, Taylor JS, DeLeo VA, Pratt  MD, et al. Positive patch-test  reactions  to pro- pylene glycol: a retrospective  cross-sectional  analysis from the North American Contact Dermatitis  Group, 1996 to 2006. Dermatitis 2009;20(1):14–20.","Warshaw, EM et al. (2009)",10.2310/6620.2008.08039,1996to2006.Dermatitis2009;20(1):14–20.,NA,"Positive patch-test reactions to propylene glycol: A retrospective cross-sectional analysis from the North American Contact Dermatitis Group, 1996 to 2006",Warshaw E.,Dermatitis,SCOPUS_ID:65649143473,1,Journal article,0
"Weden MM, Miles JN. Intergenerational  relationships between the  smoking patterns  of a population-repre- sentative sample of U.S. mothers and the smoking tra- jectories of their children. American Journal of Public Health 2012;102(4):723–31.","Weden, MM and Miles, JN (2012)",NA,AmericanJournalofPublicHealth2012;102(4):723–31.,NA,Intergenerational relationships between the smoking patterns of a population representative sample of U.S. mothers and the smoking trajectories of their children,"Weden MM, Miles JN",NA,NA,1,Journal article,0
"Xiao D, Xu Z, Huang  X, Longo LD, Yang  S, Zhang  L. Prenatal gender-related nicotine exposure increases blood pressure response to angiotensin II in adult off- spring. Hypertension 2008;51(4):1239–47.","Xiao, D et al. (2008)",NA,Hypertension2008;51(4):1239–47.,NA,Prenatal gender-related nicotine exposure increases blood pressure response to angiotensin II in adult off- spring,"Xiao D, Xu Z, Huang X, Longo LD, Yang S, Zhang L.",NA,NA,1,Journal article,0
"Zalups RK, Ahmad S. Molecular handling  of cadmium in ransporting epithelia. Toxicology and Applied Pharmacology 2003;186(3):163–88.","Zalups, RK and Ahmad, S (2003)",NA,ToxicologyandAppliedPharmacology2003;186(3):163–88.,NA,Molecular handling of cadmium in ransporting epithelia,"Zalups RK, Ahmad S",NA,NA,1,Journal article,0
"Aitken PP, Eadie DR. Reinforcing effects of cigarette advertising on under-age smoking. British Journal of Addiction 1990;85(3):399–412.","Aitken, PP and Eadie, DR (1990)",10.1111/j.1360-0443.1990.tb00657.x,BritishJournalofAddiction1990;85(3):399–412.,NA,Reinforcing effects of cigarette advertising on under‐age smoking,AITKEN P.,British Journal of Addiction,SCOPUS_ID:0025270577,1,Journal article,0
"Aitken   PP,   Leathar    DS,   O’Hagan   FJ,   Squair    SI. Children’s   awareness   of   cigarette    advertisements and   brand   imagery.   British   Journal   of  Addiction 1987;82(6):615–22.","Aitken, PP et al. (1987)",NA,BritishJournalofAddiction1987;82(6):615–22.,NA,Children’s awareness of cigarette advertisements and brand imagery.,"Aitken PP, Leathar DS, O’Hagan FJ, Squair SI.",NA,NA,1,Journal article,0
"Banerjee S, Shuk E, Greene K, Ostroff J. Content analysis of trends in print magazine tobacco advertisements. Tobacco Regulatory Science 2015;1(2):103–20.","Banerjee, S et al. (2015)",NA,TobaccoRegulatoryScience2015;1(2):103–20.,NA,Content analysis of trends in print magazine tobacco advertisements,"Banerjee S, Shuk E, Greene K, Ostroff J",NA,NA,1,Journal article,0
"Botvin EM, Botvin GJ, Michela JL, Baker E, Filazzola AD. Adolescent smoking  behavior and the  recognition  of cigarette advertisements. Journal of Applied Social Psychology 1991;21(11):919–32.","Botvin, EM et al. (1991)",10.1111/j.1559-1816.1991.tb00450.x,JournalofAppliedSocialPsychology1991;21(11):919–32.,NA,Adolescent Smoking Behavior and the Recognition of Cigarette Advertisements,Botvin E.,Journal of Applied Social Psychology,SCOPUS_ID:84991182199,1,Journal article,0
"Cantrell J, Emelle B, Ganz O, Hair EC, Vallone D. Rapid increase in e-cigarette advertising spending as Altria’s MarkTen  enters   the  marketplace.   Tobacco  Control 2016;25(e1):e16–e18.","Cantrell, J et al. (2016)",NA,TobaccoControl2016;25(e1):e16–e18.,NA,Rapid increase in e-cigarette advertising spending as Altria’s MarkTen enters the marketplace,"Cantrell J, Emelle B, Ganz O, Hair EC, Vallone D.",NA,NA,1,Journal article,0
"Coeytaux RR, Altman DG, Slade J. Tobacco promotions in the hands of youth. Tobacco Control 1995;4(3):253–57.","Coeytaux, RR et al. (1995)",NA,TobaccoControl,NA,Tobacco promotions in the hands of youth,"Coeytaux RR, Altman DG, Slade J.",NA,NA,1,Journal article,0
Glynn TJ. E-cigarettes and the future of tobacco control. CA: A Cancer Journal for Clinicians 2014;64(3):164–8.,"Glynn, TJ (2014)",10.3322/caac.21226,NA,NA,E-cigarettes and the future of tobacco control,Glynn T.,CA Cancer Journal for Clinicians,SCOPUS_ID:84901621779,1,Journal article,0
"Huang  J,  Chaloupka  FJ.  Rapidly Changing  Electronic Nicotine  Delivery Systems  (ENDS) Market (working paper). Chicago (IL): University of Illinois at Chicago, in press.","Huang, J and Chaloupka, FJ (ND)",NA,NA,NA,Rapidly Changing Electronic Nicotine Delivery Systems (ENDS) Market (working paper),"Huang, J and Chaloupka, FJ",NA,NA,1,Journal article,0
"Klitzner M, Gruenewald PJ, Bamberger E. Cigarette adver- tising and adolescent experimentation with smoking. British Journal of Addiction 1991;86(3):287–98.","Klitzner, M et al. (1991)",NA,BritishJournalofAddiction1991;86(3):287–98.,NA,E-Cigarette advertising and adolescent experimentation with smoking.,"Klitzner M, Gruenewald PJ, Bamberger",NA,NA,1,Journal article,0
"Mantey DS, Cooper MR, Clendennen SL, Pasch KE, Perry CL. E-Cigarette marketing exposure is associated with e-cigarette use among U.S. youth. Journal of Adolescent Health 2016;58:686–90.","Mantey, DS et al. (2016)",NA,JournalofAdolescentHealth2016;58:686–90.,NA,E-Cigarette marketing exposure is associated with e-cigarette use among U.S. youth.,"Mantey DS, Cooper MR, Clendennen SL, Pasch KE, Perry CL",NA,NA,1,Journal article,0
"Pierce JP, Gilpin EA. A  historical  analysis of tobacco marketing  and  the  uptake  of smoking  by youth  in the   United  States:   1890–1977.  Health   Psychology 1995;14(6):500–8.","Pierce, JP and Gilpin, EA (1995)",10.1037/0278-6133.14.6.500,HealthPsychology1995;14(6):500–8.,NA,A Historical Analysis of Tobacco Marketing and the Uptake of Smoking by Youth in the United States: 1890-1977,Pierce J.,Health Psychology,SCOPUS_ID:0029397048,1,Journal article,0
"Richards  JW, DiFranza  JR, Fletcher  C, Fischer  PM. RJ Reynolds’ “Camel cash”: another  way to  reach  kids. Tobacco Control 1995;4(3):258–60.","Richards, JW et al. (1995)",NA,TobaccoControl1995;4(3):258–60,NA,RJ Reynolds’ “Camel cash”: another way to reach kids,"Richards JW, DiFranza JR, Fletcher C, Fischer PM",NA,NA,1,Journal article,0
"Rose SW, Barker  DC, D’Angelo H,  Khan  T, Huang  J, Chaloupka FJ, Ribisl KM. The availability of elec- tronic cigarettes in U.S. retail outlets, 2012: results of two national  studies. Tobacco Control 2014;23(Suppl 3):iii10–iii16.","Rose, SW et al. (2014)",NA,TobaccoControl2014;23(Suppl3):iii10–iii16.,NA,"The availability of electronic cigarettes in U.S. retail outlets, 2012: results of two national studies","Rose SW, Barker DC, D’Angelo H, Khan T, Huang J, Chaloupka FJ, Ribisl KM",NA,NA,1,Journal article,0
"Rossiter JR, Bellman S. Marketing Communications: Theory and Applications. Frenchs  Forest, New South Wales (Australia): Prentice-Hall, 2005.","Rossiter, JR and Bellman, S (2005)",NA,"FrenchsForest,NewSouthWales(Australia):Prentice-Hall,2005.",NA,Marketing Communications: Theory and Applications,"Rossiter JR, Bellman S",NA,NA,1,Journal article,0
"Sanders-Jackson A, Parikh NM, Schleicher NC, Fortmann SP, Henriksen L. Convenience store visits by U.S. ado- lescents: rationale for healthier retail environments. Health Place 2015a;34:63–6.","Sanders-Jackson, A et al. (2015a)",NA,HealthPlace2015a;34:63–6.,NA,Convenience store visits by U.S. adolescents: rationale for healthier retail environments,"Sanders-Jackson A, Parikh NM, Schleicher NC, Fortmann SP, Henriksen L.",NA,NA,1,Journal article,0
"Hall F, Der-Avakian A, Gould T, Markou A, Shoaib M, Young J. Negative affective states and cognitive impairments in nicotine dependence. Neuroscience & Biobehavioral Reviews. 2015;58:168-185.","Hall, F et al. (2015)",NA,Neuroscience&BiobehavioralReviews.2015;58:168-185.,NA,Negative Affective States and Cognitive Impairments in Nicotine Dependence,Hall F.,Negative Affective States and Cognitive Impairments in Nicotine Dependence,SCOPUS_ID:85017449801,1,Journal article,0
"Dollerup J, Vestbo J, Murray-Thomas T, Kaplan A, Martin RJ, Pizzichini E, et al. Cardiovascular risks in smokers treated with nicotine replacement therapy: a historical cohort study. Clin Epidemiol. 2017;9:231-43.","Dollerup, J et al. (2017)",NA,ClinEpidemiol.2017;9:231-43.,NA,Cardiovascular risks in smokers treated with nicotine replacement therapy: A historical cohort study,Dollerup J.,Clinical Epidemiology,SCOPUS_ID:85020421717,1,Journal article,0
"Lam C, West A. Are electronic nicotine delivery systems an effective smoking cessation tool? Can J Respiratory Therapy. 2015;51(4):93-8.","Lam, C and West, A (2015)",NA,CanJRespiratoryTherapy.2015;51(4):93-8.,NA,Are electronic nicotine delivery systems an effective smoking cessation tool?,Lam C.,Canadian Journal of Respiratory Therapy,SCOPUS_ID:84948978274,1,Journal article,0
"Guyatt GH, Oxman AD, Vist GE, Kunz R, Falck-Ytter Y, Alonso-Coello P. GRADE: an emerging consensus on rating quality of evidence and strength of recommendations. BMJ Brit Med J. 2008;336(7650):924-6.","Guyatt, GH et al. (2008)",NA,BMJBritMedJ.2008;336(7650):924-6.,NA,GRADE: An emerging consensus on rating quality of evidence and strength of recommendations,Guyatt G.,Chinese Journal of Evidence-Based Medicine,SCOPUS_ID:58949088150,1,Journal article,0
"Weiss D, Tomasallo CD, Meiman JG, Creswell PD, Melstrom PC, Gummin DD, et al. Electronic cigarette exposure: Calls to Wisconsin poison control centers, 2010-2015. Wisconsin Med J. 2016;115(6):306-10.","Weiss, D et al. (2016)",NA,WisconsinMedJ.2016;115(6):306-10.,NA,"Electronic cigarette exposure: Calls to wisconsin poison control centers, 2010–2015",Weiss D.,Wisconsin Medical Journal,SCOPUS_ID:85009151536,1,Journal article,0
"Carmella SG, Le KA, Hecht SS. Improved method for determination of 1-hydroxypyrene in human urine. Cancer Epidemiol Biomarkers Prev. 2004;13(7):1261-4.","Carmella, SG et al. (2004)",NA,CancerEpidemiolBiomarkersPrev.2004;13(7):1261-4.,NA,Improved method for determination of 1-hydroxypyrene in human urine,Carmella S.,Cancer Epidemiology Biomarkers and Prevention,SCOPUS_ID:2942535000,1,Journal article,0
"Buchet JP, Gennart JP, Mercado-Calderon F, Delavignette JP, Cupers L, Laurwerys R. Evaluation of exposure to polycyclic aromatic hydrocarbons in a coke production and a graphite electrode manufacturing plant: assessment of urinary excretion of 1-hydroxypyrene as a biological indicator of exposure. Br J Ind Med. 1992;49(11):761-8.","Buchet, JP et al. (1992)",NA,BrJIndMed.1992;49(11):761-8.,NA,Evaluation of exposure to polycyclic aromatic hydrocarbons in a coke production and a graphite electrode manufacturing plant: Assessment of urinary excretion of 1-hydroxypyrene as a biological indicator of exposure,Buchet J.,British Journal of Industrial Medicine,SCOPUS_ID:0026448671,1,Journal article,0
Laugesen M. Modelling a two-tier tobacco excise tax policy to reduce smoking by focusing on the addictive component (nicotine) more than the tobacco weight. N Z Med J. 2012;125(1367):35-48.,"Laugesen, M (2012)",NA,NZMedJ.2012;125(1367):35-48.,NA,Modelling a two-tier tobacco excise tax policy to reduce smoking by focusing on the addictive component (nicotine) more than the tobacco weight,Laugesen M.,New Zealand Medical Journal,SCOPUS_ID:84872818138,1,Journal article,0
"Monarrez-Espino J, Bojing L, Greiner F et al. Systematic review of the effect of pictorial warnings on cigarette packages in smoking behaviour. Am J Prev Med 2014;104:e11–30.","Monarrez-Espino, J et al. (2014)",NA,AmJPrevMed2014;104:e11–30.,NA,Systematic review of the effect of pictorial warnings on cigarette packages in smoking behavior,Monárrez-Espino J.,Revista panamericana de salud publica = Pan American journal of public health,SCOPUS_ID:85029560730,1,Journal article,0
Le Houezec J. Role of nicotine pharmacokinetics in nicotine addiction and nicotine replacement therapy: a review. Int J Tuberc Lung Dis 2003;7:811–19.,"Le Houezec, J (2003)",NA,IntJTubercLungDis2003;7:811–19.,NA,Role of nicotine pharmacokinetics in nicotine addiction and nicotine replacement therapy: A review,Le Houezec J.,International Journal of Tuberculosis and Lung Disease,SCOPUS_ID:0141746048,1,Journal article,0
"Henningfield JE, Zeller M. Could science-based regulation make tobacco products less addictive? Yale J Health Policy Law Ethics 2002;3:127–38.","Henningfield, JE and Zeller, M (2002)",NA,YaleJHealthPolicyLawEthics2002;3:127–38.,NA,Could science-based regulation make tobacco products less addictive?,Henningfield J.,"Yale journal of health policy, law, and ethics",SCOPUS_ID:0037925133,1,Journal article,0
"Messina ES, Tyndale RF, Sellers EM. A major role for CYP2A6 in nicotine C-oxidation by human liver microsomes. J Pharmacol Exp Ther 1997;282:1608–14.","Messina, ES et al. (1997)",NA,JPharmacolExpTher1997;282:1608–14.,NA,A major role for CYP2A6 in nicotine C-oxidation by human liver microsomes,Messina E.,Journal of Pharmacology and Experimental Therapeutics,SCOPUS_ID:0030885491,1,Journal article,0
"Nakajima M, Yamamoto T, Nunoya K et al. Characterization of CYP2A6 involved in 3’-hydroxylation of cotinine in human liver microsomes. J Pharmacol Exp Ther 1996;277:1010–15.","Nakajima, M et al. (1996)",NA,JPharmacolExpTher1996;277:1010–15.,NA,Characterization of CYP2A6 involved in 3′-hydroxylation of cotinine in human liver microsomes,Nakajima M.,Journal of Pharmacology and Experimental Therapeutics,SCOPUS_ID:5544281923,1,Journal article,0
"Lippmann M, Yeates DB, Albert RE. Deposition, retention, and clearance of inhaled particles. Br J Ind Med 1980;37:337–62.","Lippmann, M et al. (1980)",NA,BrJIndMed1980;37:337–62.,NA,"Deposition, retention, and clearance of inhaled particles",Lippmann M.,British Journal of Industrial Medicine,SCOPUS_ID:0019193041,1,Journal article,0
"Robertson OH, Loosli CG. Tests for the chronic toxicity of propylene glycol and triethylene glycol on monkeys and rats by vapor inhalation and oral administration. J Pharmacol Exp Ther 1947;91:52–76.","Robertson, OH and Loosli, CG (1947)",NA,JPharmacolExpTher1947;91:52–76.,NA,Tests for the chronic toxicity of propylene glycol and triethylene glycol on monkeys and rats by vapor inhalation and oral administration,ROBERTSON O.,The Journal of pharmacology and experimental therapeutics,SCOPUS_ID:0009581006,1,Journal article,0
"Belluzzi JD, Lee AG, Oliff HS, Leslie FM. Age-dependent effects of nicotine on locomotor activity and condi- tioned place preference in rats. Psychopharmacology 2004;174(3):389–95.","Belluzzi, JD et al. (2004)",NA,Psychopharmacology2004;174(3):389–95.,NA,Age-dependent effects of nicotine on locomotor activity and conditioned place preferences in rats,Belluzzi J.,Psychopharmacology,SCOPUS_ID:3042858854,1,Journal article,0
Laugesen M. Nicotine and toxicant yield ratings  of elec- tronic  cigarette brands in New Zealand. New Zealand Medical Journal 2015;128(1411):77–82.,"Laugesen, M (2015)",NA,NewZealandMedicalJournal2015;128(1411):77–82.,NA,Nicotine and toxicant yield ratings of electronic cigarette brands in New Zealand,Laugesen M.,New Zealand Medical Journal,SCOPUS_ID:84929672740,1,Journal article,0
"Navarro HA, Seidler FJ, Whitmore WL, Slotkin TA. Prenatal exposure  to  nicotine  via maternal  infusions:  effects on  development  of catecholamine  systems.  Journal of   Pharmacology   and   Experimental    Therapeutics 1988;244(3):940–4.","Navarro, HA et al. (1988)",NA,JournalofPharmacologyandExperimentalTherapeutics1988;244(3):940–4.,NA,Prenatal exposure to nicotine via maternal infusions: Effects on development of catecholamine systems,Navarro H.,Journal of Pharmacology and Experimental Therapeutics,SCOPUS_ID:0023840637,1,Journal article,0
"Protano   C,  Vitali   M.  The  new  danger   of  thirdhand smoke: why passive smoking does not stop at sec- ondhand  smoke. Environmental  Health  Perspectives 2011;119(10):A422.","Protano, C and Vitali, M (2011)",NA,EnvironmentalHealthPerspectives2011;119(10):A422.,NA,The new danger of thirdhand smoke: Why passive smoking does not stop at secondhand smoke,Protano C.,Environmental Health Perspectives,SCOPUS_ID:80053448299,1,Journal article,0
