Reference,nrefs,Full Reference
"Bell, K and Keane, H (2014)",1,"Bell, K. and H. Keane, All gates lead to smoking: The ‘gateway theory’, e-cigarettes and the remaking of nicotine. Social Science & Medicine, 2014. 119: p. 45-52."
"Kandel, ER and Kandel, DB (2014)",2,"Kandel, E.R. and D.B. Kandel, A molecular basis for nicotine as a gateway drug. New England Journal of Medicine, 2014. 371(10): p. 932-943."
"Hall, WD and Lynskey, M (2005)",1,"Hall, W.D. and M. Lynskey, Is cannabis a gateway drug? Testing hypotheses about the relationship between cannabis use and the use of other illicit drugs. Drug and alcohol review, 2005. 24(1): p. 39-48."
"Wise, J (2014)",1,"Wise, J., Children are three times as likely to try e-cigarettes as tobacco products, study finds. BMJ, 2014. 349: p. g7508."
"Kandel, DB and Kandel, ER (2014)",1,"Kandel, D. and E. Kandel, The Gateway Hypothesis of substance abuse: developmental, biological and societal perspectives. Acta Paediatrica, 2014."
"Szatkowski, L and McNeill, A (2014)",1,"Szatkowski, L. and A. McNeill, Diverging Trends in Smoking Behaviors According to Mental Health Status. Nicotine & Tobacco Research, 2014: p. ntu173."
"Adkison, SE et al.(2013)",1,"Adkison, S.E., et al., Electronic nicotine delivery systems: international tobacco control four-country survey. Am J Prev Med, 2013. 44(3): p. 207-215."
National Institute for Health Care and Excellence (2013c),1,"National Institute for Health Care and Excellence. Smoking cessation in secondary care: acute, maternity and mental health services. [PH48]. 2013; Available from: https://www.nice.org.uk/guidance/ph48."
South London and Maudsley NHS Foundation Trust (2015),1,South London and Maudsley NHS Foundation Trust. Smokefree Policy. 2015 18 May 2015]; Available from: http://www.slam.nhs.uk/our-services/smokefree.
"Barbry, C et al. (2015)",1,"Barbry, C., S. Hartwell-Naguib, and S. Barber. Smoking in public places. 2015 15 April 2015]; Available from: www.parliament.uk/briefing-papers/sn04414.pdf."
BBC News (2014a),1,"BBC News., E-cigarettes being sold in prison shops in smoking ban pilot, in BBC News. 2014. Available from: http://www.bbc.co.uk/news/uk-30596976."
"Curry, L et al. (2014)",1,"Curry, L., Y.O. Lee, and T. Rogers, E-cigarettes made especially for inmates. Tob Control, 2014. 23(e2): p. e87-e88."
"McRobbie, H (2014)",1,"McRobbie, H. NCSCT: Electronic Cigarettes. 2014; Available from: http://www.ncsct.co.uk/usr/pub/e- cigarette_briefing.pdf."
Leicester Stop Smoking Service (2015),1,Leicester Stop Smoking Service. Stop Smoking Service 2015 1 May 2015]; Available from: http://www.stopsmokingleic.co.uk/.
"Stead, LF and Lancaster, T (2012)",1,"Stead, L.F. and T. Lancaster, Behavioural interventions as adjuncts to pharmacotherapy for smoking cessation. The Cochrane Library, 2012."
"Kotz, D et al. (2014a)",1,"Kotz, D., J. Brown, and R. West. Prospective cohort study of the effectiveness of smoking cessation treatments used in the “real world”. in Mayo Clinic Proceedings. 2014. Elsevier."
"Caponnetto, P et al. (2013a)",3,"Caponnetto, P., et al., EffiCiency and Safety of an eLectronic cigAreTte (ECLAT) as tobacco cigarettes substitute: a prospective 12-month randomized control design study. PLoS One, 2013. 8(6): p. e66317."
"Adriaens, K et al. (2014)",2,"Adriaens, K., et al., Effectiveness of the electronic cigarette: An eight-week flemish study with six-month follow-up on smoking reduction, craving and experienced benefits and complaints. Int J Environ Res Public Health, 2014. 11(11): p. 11220-48."
"O'Brien, B et al. (2015)",2,"O'Brien, B., et al., E-cigarettes versus NRT for smoking reduction or cessation in people with mental illness: secondary analysis of data from the ASCEND trial. Tob Induc Dis, 2015. 13(1): p. 5."
"Polosa, R et al. (2014a)",2,"Polosa, R., et al., Success rates with nicotine personal vaporizers: a prospective 6-month pilot study of smokers not intending to quit. BMC Public Health, 2014. 14: p. 1159."
"Polosa, R et al. (2015)",2,"Polosa, R., et al., Quit and smoking reduction rates in vape shop consumers: a prospective 12-month survey. Int J Environ Res Public Health, 2015. 12(4): p. 3428-38."
"Beard, E et al. (2014)",1,"Beard, E., et al., How are the English Stop Smoking Services responding to growth in use of electronic cigarettes? Patient education and counseling, 2014. 94(2): p. 276-281."
Health and Social Care Infromation Centre (2015),1,HSCIC. NHS Stop Smoking Services Collection. 2015 18 May 2015]; Available from: http://www.hscic.gov.uk/stopsmoking.
"Al-Delaimy, WK et al. (2015)",2,"Al-Delaimy, W.K., et al., E-cigarette use in the past and quitting behaviour in the future: a population- based study. Am J Public Health, 2015."
"Pearson, JL et al. (2014)",2,"Pearson, J.L., et al., E-Cigarettes and Smoking Cessation: Insights and Cautions From a Secondary Analysis of Data From a Study of Online Treatment-Seeking Smokers. Nicotine Tob Res, 2014."
"Borderud, SP et al. (2014)",2,"S.P., et al., Electronic cigarette use among patients with cancer: characteristics of electronic cigarette users and their smoking cessation outcomes. Cancer, 2014. 120(22): p. 3527-35."
"Berg, CJ et al. (2015a)",1,"Berg, C.J., et al., Cigarette Users' Interest in Using or Switching to Electronic Nicotine Delivery Systems for Smokeless Tobacco for Harm Reduction, Cessation, or Novelty: A Cross-Sectional Survey of US Adults. Nicotine Tob Res, 2015. 17(2): p. 245-55."
"Farsalinos, KE et al. (2014a)",1,"Farsalinos, K.E., et al., Characteristics, perceived side effects and benefits of electronic cigarette use: a worldwide survey of more than 19,000 consumers. Int J Environ Res Public Health, 2014. 11(4): p. 4356- 73."
"Hummel, K et al. (2014)",1,"Hummel, K., et al., Prevalence and reasons for use of electronic cigarettes among smokers: Findings from the International Tobacco Control (ITC) Netherlands Survey. Int J Drug Policy, 2014."
"Richardson, A et al. (2014b)",2,"Richardson, A., et al., Prevalence, harm perceptions, and reasons for using noncombustible tobacco products among current and former smokers. Am J Public Health, 2014. 104(8): p. 1437-44."
"Rutten, LJ et al. (2015)",1,"Rutten, L.J., et al., Use of e-Cigarettes among Current Smokers: Associations among Reasons for Use, Quit Intentions, and Current Tobacco Use. Nicotine Tob Res, 2015."
"Pepper, JK et al. (2014)",2,"Pepper, J.K., et al., Reasons for starting and stopping electronic cigarette use. Int J Environ Res Public Health, 2014. 11(10): p. 10345-61."
"Schmidt, L et al. (2013)",1,"Schmidt, L., et al., Prevalence and reasons for initiating use of electronic cigarettes among adults in Montana, 2013. Prev Chronic Dis, 2014. 11: p. E204."
"Stein, MD et al. (2014)",1,"Stein, M.D., et al., E-cigarette knowledge, attitudes, and use in opioid dependent smokers. J Subst Abuse Treat, 2014."
"Kong, G et al. (2014)",1,"Kong, G., et al., Reasons for Electronic Cigarette Experimentation and Discontinuation Among Adolescents and Young Adults. Nicotine & Tobacco Research, 2014: p. ntu257."
"White, J et al. (2015)",2,"White, J., et al., Tripling Use of Electronic Cigarettes Among New Zealand Adolescents Between 2012 and 2014. Journal of Adolescent Health, 2015. 56(5): p. 522-528."
"Agaku, IT et al. (2014)",1,"Agaku, I.T., et al., Poly-tobacco use among adults in 44 countries during 2008-2012: evidence for an integrative and comprehensive approach in tobacco control. Drug Alcohol Depend, 2014. 139: p. 60-70."
"Eastwood, B et al. (2015a)",2,"Eastwood, B., et al., Trends in electronic cigarette use in young people in Great Britain 2013-2014. (in press)."
"Tan, AS and Bigman, CA (2014)",2,"Tan, A.S. and C.A. Bigman, E-cigarette awareness and perceived harmfulness: prevalence and associations with smoking-cessation outcomes. Am J Prev Med, 2014. 47(2): p. 141-9."
"Ambrose, BK et al. (2014)",2,"Ambrose, B.K., et al., Perceptions of the relative harm of cigarettes and e-cigarettes among U.S. youth. Am J Prev Med, 2014. 47(2 Suppl 1): p. S53-60."
"Amrock, SM et al. (2015)",2,"Amrock, S.M., et al., Perception of e-cigarette harm and its correlation with use among u.s. Adolescents. Nicotine Tob Res, 2015. 17(3): p. 330-6."
"Harrell, PT et al. (2015)",2,"Harrell, P.T., et al., Expectancies for Cigarettes, E-Cigarettes, and Nicotine Replacement Therapies Among E-Cigarette Users (aka Vapers). Nicotine Tob Res, 2015. 17(2): p. 193-200."
"Mayer, B (2014)",3,"Mayer, B., How much nicotine kills a human? Tracing back the generally accepted lethal dose to dubious self-experiments in the nineteenth century. Archives of toxicology, 2014. 88(1): p. 5-7."
"Kloosterman, K. (2013)",1,"Kloosterman, K., Electronic cigarette kills toddler in Israel. Green Prophet, 2013. 29."
"Shawn, L and Nelson, LS (2013)",2,"Shawn, L. and L.S. Nelson, Smoking cessation can be toxic to your health. EMErGEnCy MEDICInE, 2013."
"Gill, N et al. (2015)",2,"Gill, N., et al., E-Cigarette Liquid Nicotine Ingestion in a Child: Case Report and Discussion. CJEM, 2015: p. 1-5."
"Gupta, S et al. (2014)",1,"Gupta, S., A. Gandhi, and R. Manikonda, Accidental nicotine liquid ingestion: emerging paediatric problem. Arch Dis Child, 2014. 99(12): p. 1149."
"Chatham-Stephens, K et al. (2014)",1,"Chatham-Stephens, K., et al., Notes from the field: calls to poison centers for exposures to electronic cigarettes--United States, September 2010-February 2014. MMWR Morb Mortal Wkly Rep, 2014. 63(13): p. 292-293."
"Bartschat, S et al. (2015)",2,"Bartschat, S., et al., Not only smoking is deadly: fatal ingestion of e-juice-a case report. Int J Legal Med, 2014."
"Christensen, LB et al. (2013)",1,"Christensen, L.B., T. van't Veen, and J. Bang. Three cases of attempted suicide by ingestion of nicotine liquid used in e-cigarettes. in Clinical Toxicology. 2013. INFORMA HEALTHCARE 52 VANDERBILT AVE, NEW YORK, NY 10017 USA."
"Thornton, SL et al. (2014)",1,"Thornton, S.L., L. Oller, and T. Sawyer, Fatal intravenous injection of electronic nicotine delivery system refilling solution. J Med Toxicol, 2014. 10(2): p. 202-4."
"Bush, D and Goniewicz, ML (2015)",2,"Bush, D. and M.L. Goniewicz, A pilot study on nicotine residues in houses of electronic cigarette users, tobacco smokers, and non-users of nicotine-containing products. International Journal of Drug Policy, 2015."
"Colard, S et al. (2014)",1,"Colard, S., et al., Electronic Cigarettes and Indoor Air Quality: A Simple Approach to Modeling Potential Bystander Exposures to Nicotine. Int J Environ Res Public Health, 2014. 12(1): p. 282-299."
"Goniewicz, ML and Lee, L (2014)",2,"Goniewicz, M.L. and L. Lee, Electronic cigarettes are a source of thirdhand exposure to nicotine. Nicotine & Tobacco Research, 2014: p. ntu152."
"Domino, EF et al. (1993)",1,"Domino, E.F., E. Hornbach, and T. Demana, The nicotine content of common vegetables. New England Journal of Medicine, 1993. 329(6): p. 437-437."
"Cheng, T (2014)",3,"Cheng, T., Chemical evaluation of electronic cigarettes. Tob Control, 2014. 23(suppl 2): p. ii11-ii17."
"Westenberger, BJ (2009)",1,"Westenberger, B., Evaluation of e-Cigarettes. St Louis, MO: Department of Health and Human Services. Food and Drug Administration, Center for Drug Evaluation and Research, Division of Pharmaceutical Analysis, http://truthaboutecigs. com/science/2. pdf, accessed, 2010. 16."
"Cobb, NK et al. (2010)",2,"Cobb, N.K., et al., Novel nicotine delivery systems and public health: the rise of the “e-cigarette”. Am J Public Health, 2010. 100(12): p. 2340-2342."
"Trehy, ML et al. (2011)",2,"Trehy, M.L., et al., Analysis of electronic cigarette cartridges, refill solutions, and smoke for nicotine and nicotine related impurities. Journal of Liquid Chromatography & Related Technologies, 2011. 34(14): p. 1442-1458."
"Cheah, NP et al. (2012)",1,"Cheah, N.P., et al., Electronic nicotine delivery systems: regulatory and safety challenges: Singapore perspective. Tob Control, 2012: p. tobaccocontrol-2012-050483."
"Pellegrino, R et al. (2012)",2,"Pellegrino, R., et al., Electronic cigarettes: an evaluation of exposure to chemicals and fine particulate matter (PM). Ann Ig, 2012. 24(4): p. 279-288."
"Goniewicz, ML et al. (2013a)",2,"Goniewicz, M.L., et al., Nicotine levels in electronic cigarettes. Nicotine & Tobacco Research, 2013: p. nts103."
"Etter, JF et al. (2013)",2,"Etter, J.F., E. Zäther, and S. Svensson, Analysis of refill liquids for electronic cigarettes. Addiction, 2013. 108(9): p. 1671-1679."
"Kirschner, RI et al. (2013)",1,"Kirschner, R.I., R. Gerona, and K.L. Jacobitz. Nicotine content of liquid for electronic cigarettes. in CLINICAL TOXICOLOGY. 2013. INFORMA HEALTHCARE 52 VANDERBILT AVE, NEW YORK, NY 10017 USA."
"Cameron, JM et al. (2014)",2,"Cameron, J.M., et al., Variable and potentially fatal amounts of nicotine in e-cigarette nicotine solutions. Tob Control, 2014. 23(1): p. 77-78."
"Goniewicz, ML et al. (2015)",2,"Goniewicz, M.L., et al., Nicotine levels in electronic cigarette refill solutions: A comparative analysis of products from the US, Korea, and Poland. International Journal of Drug Policy, 2015."
"Geiss, O et al. (2015)",2,"Geiss, O., et al., Characterisation of mainstream and passive vapours emitted by selected electronic cigarettes. International journal of hygiene and environmental health, 2015. 218(1): p. 169-180."
"Kavvalakis, MP et al. (2015)",2,"Kavvalakis, M.P., et al., Multicomponent Analysis of Replacement Liquids of Electronic Cigarettes Using Chromatographic Techniques. Journal of analytical toxicology, 2015: p. bkv002."
"Farsalinos, KE et al. (2015a)",2,"Farsalinos, K.E., et al., Nicotine Levels and Presence of Selected Tobacco-Derived Toxins in Tobacco Flavoured Electronic Cigarette Refill Liquids. Int J Environ Res Public Health, 2015. 12(4): p. 3439-3452."
"Kubica, P et al. (2013)",1,"Kubica, P., et al., “Dilute & shoot” approach for rapid determination of trace amounts of nicotine in zero- level e-liquids by reversed phase liquid chromatography and hydrophilic interactions liquid chromatography coupled with tandem mass spectrometry-electrospray ionization. Journal of Chromatography A, 2013. 1289: p. 13-18."
"Goniewicz, ML et al. (2014b)",2,"Goniewicz, M.L., P. Hajek, and H. McRobbie, Nicotine content of electronic cigarettes, its release in vapour and its consistency across batches: regulatory implications. Addiction, 2014. 109(3): p. 500-507."
"Kosmider, L et al. (2015)",1,"Kosmider, L., et al., Influence of Electronic Cigarettes Puffing. 2015."
"Ingebrethsen, BJ et al. (2012)",2,"Ingebrethsen, B.J., S.K. Cole, and S.L. Alderman, Electronic cigarette aerosol particle size distribution measurements. Inhalation toxicology, 2012. 24(14): p. 976-984."
"Williams, M and Talbot, P (2011)",1,"Williams, M. and P. Talbot, Variability among electronic cigarettes in the pressure drop, airflow rate, and aerosol production. Nicotine & Tobacco Research, 2011. 13(12): p. 1276-1283."
"Trtchounian, A et al. (2010)",1,"Trtchounian, A., M. Williams, and P. Talbot, Conventional and electronic cigarettes (e-cigarettes) have different smoking characteristics. Nicotine & Tobacco Research, 2010. 12(9): p. 905-912."
"Uchiyama, S et al. (2013)",3,"Uchiyama, S., et al., Determination of carbonyl compounds generated from the E-cigarette using coupled silica cartridges impregnated with hydroquinone and 2, 4-dinitrophenylhydrazine, followed by high- performance liquid chromatography. Analytical Sciences, 2013. 29(12): p. 1219-1222."
