Reference,doi,dir,title,journal,nrefs,type,conflicts
"Smith, LN et al. (2006)",10.1016/j.pbb.2006.07.014,Documents/E-cigarette citation library.Data/PDF/0502443625/10.1016_j.pbb.2006.07.014-2006.pdf,Long-term changes in fear conditioning and anxiety-like behavior following nicotine exposure in adult versus adolescent rats,Pharmacology Biochemistry and Behavior,1,Journal article,
"Smith, RF et al. (2015)",10.1016/j.neubiorev.2015.05.019,Documents/E-cigarette citation library.Data/PDF/3388064569/10.1016_j.neubiorev.2015.05.019-2015.pdf,Adolescent nicotine induces persisting changes in development of neural connectivity,Neuroscience and Biobehavioral Reviews,1,Journal article,
"Somerville, LH and Casey, BJ (2010)",10.1016/j.conb.2010.01.006,Documents/E-cigarette citation library.Data/PDF/4045875417/10.1016_j.conb.2010.01.006-2010.pdf,Developmental neurobiology of cognitive control and motivational systems,Current Opinion in Neurobiology,1,Journal article,nd current areas of debate  outlined  below    1  What constitutes â  maturationâ   in fMRI signal  Conflicting  arguments have been made with regard to what pattern of  functional activity represents functional maturity  Some studies  report higher magnitude activity as immature  reflecting neural  inefficiency or increased effort  Other studies interpret higher  magnitude activity as more mature  reflec
"Sorenson, CA et al. (1991)",10.1016/0091-3057(91)90117-K,Documents/E-cigarette citation library.Data/PDF/2429809333/10.1016_0091-3057(91)90117-K-1991.pdf,The effects of prenatal nicotine on radial-arm maze performance in rats,"Pharmacology, Biochemistry and Behavior",1,Journal article,
"Spear, LP (2000)",10.1016/S0149-7634(00)00014-2,Documents/E-cigarette citation library.Data/PDF/1421599556/10.1016_S0149-7634(00)00014-2-2000.pdf,The adolescent brain and age-related behavioral manifestations,Neuroscience and Biobehavioral Reviews,1,Journal article,"ssues ranging from peer pressure and self  esteem  impact of parenting styles on parent adolescent  conflict  obsessions with thinness in adolescent females in  some Western cultures  and cultural differences in percep   tion of adolescence as a life stage  to mention but a few   Thus  as with animal models of psychopathology in  humans  to answer the question of the appropriateness of  animal models of a
 to  peers  adolescence is also frequently characterized by an  increase in the perceived number of conflicts between the  adolescent and his her parents  518   Interestingly  similar  elevations in conflict during the pubertal period are evident  in monogamous family groups of nonhuman primates as  well  518    Indeed  like human adolescents  adolescents of other  species also show alterations in social 
sful  309 572   The most likely domain of  emergent problems may also vary with age  with parental  conflicts particularly likely in young adolescents  see meta   analysis by Laursen et al   311   mood disruptions in mid   adolescence  and risk behavior in late adolescence  see Ref    25  for review   There may be gender differences as well   During early adolescence  females may be unusually vulner   abl
 researchers have  suggested that stressors occurring prior to adolescence   including parent child conflict  sexual abuse  and the  absence of the father  may in some instances lead to early  puberty in humans  519 526 559    No clear resolution is apparent to the paradox that adoles   cence may be associated with a somewhat elevated gluco   corticoid burden despite presumed inhibitory influences of  the
111â  40    28  Baer PE  Garmezy LB  McLaughlin RJ  Pokorny AD  Wernick MJ   Stress  coping  family conflict  and adolescent alcohol use  Journal of  Behavioral Medicine 1987 10 449â  66    29  Bailey CC  Kitchen I  Developmental responses to opioids reveals a  lack of effect on stress induced corticosterone levels in neonatal rats   British Journal of Pharmacology 1987 91 119â  25    30  Bardo MT  Neurop
Basic Books   1994    311  Laursen B  Coy KC  Collins WA  Reconsidering changes in parentâ    child conflict across adolescence  a meta analysis  Child Develop   ment 1998 69 817â  32    312  Laviola G  Adriani W  Terranova ML  Gerra G  Psychobiological  risk factors for vulnerability to psychostimulants in human adoles   cents and animal models  Neuroscience and Biobehavioral Reviews  1999 23 993â  1010 "
"Spear, LP (2011)",10.1016/j.dcn.2011.08.001,Documents/E-cigarette citation library.Data/PDF/2641788023/10.1016_j.dcn.2011.08.001-2011.pdf,"Rewards, aversions and affect in adolescence: Emerging convergences across laboratory animal and human data",Developmental Cognitive Neuroscience,1,Journal article,
"Steinberg, L (2008)",10.1017/CBO9781139042819.005,Documents/E-cigarette citation library.Data/PDF/3681983884/10.1017_CBO9781139042819.005-2008.pdf,Adolescent risk taking: A social neuroscience perspective,Adolescent Vulnerabilities and Opportunities: Developmental and Constructivist Perspectives,1,Journal article,"ogical well  being of young people   Acknowledgements  Preparation of this article was supported by funding from the John D  and Catherine T  MacArthur Foundation Research  Network on Adolescent Development and Juvenile Justice and by the National Institute on Drug Abuse   1R21DA022546 01   The content of this paper  however  is solely the responsibility of the author and does not  necessarily represent 
s 1999 46 89â  96   Greene J  Nystrom L  Engell A  Darley J  Cohen J  The neural bases of cognitive conflict and control in  moral judgment  Neuron 2004 44 389â  400   PubMed  15473975   Grosbras M  Jansen M  Leonard G  McIntosh A  Osswald K  Poulsen C  Steinberg L  Toro R  Paus T   Neural mechanisms of resistance to peer influence in early adolescence  Journal of Neuroscience  2007 27 8040â  8045   PubMe"
"Talih, S et al. (2016)",10.1093/ntr/ntv080,Documents/E-cigarette citation library.Data/PDF/3896863005/10.1093_ntr_ntv080-2016.pdf,"""Direct dripping"": A high-temperature, high- formaldehyde emission electronic cigarette use method",Nicotine and Tobacco Research,1,Journal article,"terial  Supplementary Figures S1 and S2 can be found online at http   www   ntr oxfordjournals org  Funding  This work was supported by the National Institute on Drug Abuse of the   National Institutes of Health  grant number P50DA036105  and the Center   for Tobacco Products of the US Food and Drug Administration  The content   is solely the responsibility of the authors and does not necessarily represe
58  the official views of the National Institutes of Health or the Food and Drug   Administration   Declaration of Interests  None declared   References   1  Adkison SE  Oâ  Connor RJ  Bansal Travers M  etÂ  al  Electronic nicotine   delivery systems  international tobacco control four country survey  Am J   Prev Med  2013 44 3  207â  215  doi 10 1016 j amepre 2012 10 018    2  Ayers JW  Ribisl KM  Brow"
"Tang, MS et al. (2011)",10.1002/mnfr.201100148,Documents/E-cigarette citation library.Data/PDF/0251927413/10.1002_mnfr.201100148-20111.pdf,"Acrolein induced DNA damage, mutagenicity and effect on DNA repair",Molecular Nutrition and Food Research,1,Journal article,ew Jersey  University of Medicine and Dentistry of New Jersey  New Brunswick  NJ 08903  All authors declare there is no conflict of interest   HHS Public Access  Author manuscript  Mol Nutr Food Res  Author manuscript  available in PMC 2015 October 15   Published in final edited form as   Mol Nutr Food Res  2011 September   55 9   1291â  1300  doi 10 1002 mnfr 201100148   A  uthor M  anuscript  A  uthor
"Moon, RY (2011)",10.1542/peds.2011-2285,Documents/E-cigarette citation library.Data/PDF/2822535904/10.1542_peds.2011-2285-2011.pdf,SIDS and other sleep-related infant deaths: Expansion of recommendations for a safe infant sleeping environment,Pediatrics,1,Journal article,
"Taylor, DR et al. (2006)",10.1136/thx.2005.056093,Documents/E-cigarette citation library.Data/PDF/1834783375/10.1136_thx.2005.056093-2006.pdf,Exhaled nitric oxide measurements: Clinical application and interpretation,Thorax,1,Journal article, O Box 2060  3000 CB Rotterdam  The Netherlands  Competing interests  Professor Taylor has received funding from  Aerocrine  a manufacturer of nitric oxide analysers   Note  Unless otherwise stated  all FENO measurements are reported in  parts per billion at a flow rate of 50 ml s  In some instances corrections  for flow rate have been made to ensure consistency and permit  appropriate interpretation by 
"Vastola, BJ et al. (2013)",10.1016/S0031-9384(02)00818-1,Documents/E-cigarette citation library.Data/PDF/1211603312/10.1016_S0031-9384(02)00818-1-2002.pdf,Nicotine-induced conditioned place preference in adolescent and adult rats,Physiology and Behavior,1,Journal article,
"Wang, HT et al. (2009)",10.1021/tx800369y,Documents/E-cigarette citation library.Data/PDF/3984471246/10.1021_tx800369y-2009.pdf,Mutagenicity and sequence specificity of acrolein-DNA adducts,Chemical Research in Toxicology,1,Journal article,
"Weissman, MM et al. (1999)",10.1097/00004583-199907000-00020,Documents/E-cigarette citation library.Data/PDF/3466248846/10.1097_00004583-199907000-00020-1999.pdf,Maternal smoking during pregnancy and psychopathology in offspring followed to adulthood,Journal of the American Academy of Child and Adolescent Psychiatry,1,Journal article,
"Wilens, TE et al. (2008)",10.1016/j.jpeds.2008.04.030,Documents/E-cigarette citation library.Data/PDF/0353423403/10.1016_j.jpeds.2008.04.030-2008.pdf,Cigarette Smoking Associated with Attention Deficit Hyperactivity Disorder,Journal of Pediatrics,1,Journal article,"the National Institute  on Drug Abuse  grants R01 DA14419   DA016264  and 5U10DA015831    Potential conflict of interest information is  available at www jpeds com   Submitted for publication Nov 14  2007   last revision received Feb 6  2008  accepted  Apr 4  2008   Reprint requests  Timothy E  Wilens  MD   Pediatric Psychopharmacology Unit  55  Parkman Street  YAW 6A  Boston  MA  02114  E mail  twilens p
f youths with and without ADHD  Biol Psychiatry  006 59 258 64   rder 419  e  N  a  a  4  T  Wilens declares the following potential conflicts of inter   st  He receives grant support from Abbott  Lilly  McNeil  Merck   ational Institutes of Health  National Institute on Drug Abuse   N  19 e1 Wilens et alnd Shire  is a speaker for McNeil  Novartis  and Shire  and serves  s a consultant for Abbott  McNei"
"Wills, TA et al. (2016c)",10.1136/tobaccocontrol-2015-052349,Documents/E-cigarette citation library.Data/PDF/2429495045/10.1136_tobaccocontrol-2015-052349-2016.pdf,E-cigarette use and willingness to smoke: A sample of adolescent non-smokers,Tobacco Control,1,Journal article,"Also included as covariates were continuous scores for  parenting  parental support  monitoring and conflict   social   cognitive variables  academic and social competence  and per   sonality variables  rebelliousness and sensation seeking   Logistic  and linear regression analyses  including covariates  determined  the relation between e cigarette use and willingness to smoke   SEM was then conducted in 
en  Parental monitoring  5   0 75 My parent asks me what I do with my  friends  Parentâ  adolescent conflict  3   0 83 I have a lot of arguments with my  parent  Academic competence  5   0 79 I like school because I do well in class  Social competence  5   0 81 I find it easy to make friends with  other teens  Sensation seeking  5   0 75 I like to do things that are a little  frightening  Rebelliousness  
  of the total effect   Other results in the structural model were paths from parentâ    adolescent conflict to peer smoker affiliations and favourable  prototypes of smokers  plus a direct effect to more willingness  to smoke  Sensation seeking and rebelliousness had positive  paths to peer smoker affiliations  expectancies about smoking   and prototypes of teen smokers  Regarding protective factors   pa
blished predictors of ado   lescent smoking  such as parental monitoring and parentâ  adoles   cent conflict 41 42 Clearly it is an important part of the process   A behavioural interpretation suggests that because many  e cigarettes are designed to mimic cigarette smoking  simply  Table 2 Mean  SE in parentheses  for willingness to smoke in relation to level of e cigarette use among adolescent non smoker
âˆ 0 02 0 06 âˆ 0 03 âˆ 0 04 0 03 âˆ 0 03 âˆ 0 04 âˆ 0 03 âˆ 0 03 0 41 â    13  Parentâ  adolescent conflict 0 13 âˆ 0 07 0 01 0 03 âˆ 0 02 0 02 0 03 0 06 0 01 âˆ 0 02 âˆ 0 55 âˆ 0 09 â    14  Academic involve âˆ 0 18 âˆ 0 03 âˆ 0 08 âˆ 0 01 âˆ 0 03 âˆ 0 01 âˆ 0 04 âˆ 0 02 âˆ 0 06 0 10 0 35 0 32 âˆ 0 23 â    15  Social competence 0 05 0 14 0 06 âˆ 0 10 0 06 0 01 âˆ 0 02 âˆ 0 03 âˆ 0 03 0 05 0 29 0 17 âˆ 0
ipt drafts and made substantial contributions to the  reporting and interpretation of the results   Funding This research was supported by grants R01 CA153154 and P30  CA071789 14S4 from the National Cancer Institute   Competing interests None declared   Ethics approval The study was approved by the Institutional Review Boards for  University of Hawaii and Hawaii Department of Education   Provenance and "
"Zhan, W et al. (2012)",10.1093/ntr/nts031,Documents/E-cigarette citation library.Data/PDF/0197810993/10.1093_ntr_nts031-20121.pdf,The natural course of nicotine dependence symptoms among adolescent smokers,Nicotine and Tobacco Research,1,Journal article,"y emerging symptoms among   adolescent smokers may prevent the development of chronic   smoking     Funding    This research was supported by Project Grant  P01 CA098262     R J M    from the  National Cancer Institute   grants  DA022313      DA022313  S   L C  D       and  DA029834   J S  R     from the  National   Institute on Drug Abuse   and a Center Grant   DA010075   awarded   to the  Methodology C
enter  Penn State University      Declaration of Interests    The authors report no confl ict of interest     References    Berrettini    W  H       Lerman    C  E    2005     Pharmacotherapy and   pharmacogenetics of nicotine dependence    American Journal of   Psychiatry    162    1441 â   1451    doi 10 1176 appi ajp 162 8 1441    Bien
y emerging symptoms among   adolescent smokers may prevent the development of chronic   smoking     Funding    This research was supported by Project Grant  P01 CA098262     R J M    from the  National Cancer Institute   grants  DA022313      DA022313  S   L C  D       and  DA029834   J S  R     from the  National   Institute on Drug Abuse   and a Center Grant   DA010075   awarded   to the  Methodology C
enter  Penn State University      Declaration of Interests    The authors report no confl ict of interest     References    Berrettini    W  H       Lerman    C  E    2005     Pharmacotherapy and   pharmacogenetics of nicotine dependence    American Journal of   Psychiatry    162    1441 â   1451    doi 10 1176 appi ajp 162 8 1441    Bien"
"Zhang, K and Wang, X (2013)",10.1016/j.legalmed.2012.10.007,Documents/E-cigarette citation library.Data/PDF/2356117569/10.1016_j.legalmed.2012.10.007-2013.pdf,Maternal smoking and increased risk of sudden infant death syndrome: A meta-analysis,Legal Medicine,1,Journal article,
"Zhu, SH et al. (2014b)",10.1136/tobaccocontrol-2014-051670,Documents/E-cigarette citation library.Data/PDF/1082078614/10.1136_tobaccocontrol-2014-051670-2014.pdf,Four hundred and sixty brands of e-cigarettes and counting: Implications for product regulation,Tobacco Control,1,Journal article,"C  EB  Data  analysis and interpretation  S HZ  AG  LY  JYS  SEC  Writing  S HZ  EB  SEC  AG  JYS   Funding This study was supported by the National Cancer Institute of the National  Institutes of Health under the State and Community Tobacco Control Initiative   Award Number U01CA154280  The content is solely the responsibility of the  authors and does not necessarily represent the official views of the 
ures e cigarettes 2013 5  accessed 11 Mar 2014    17 Stevenson A  NJOY  E cigarette maker  receives funding valuing it at  1 billion   New York Times 28 February 2014  http   dealbook nytimes com 2014 02 28   njoy e cigarette maker receives funding valuing it at 1 billion   accessed 11 Mar 2014    18 Wikipedia  Electronic cigarette  Wikipedia  2014  http   en wikipedia org wiki   Electronic_cigarette  ac"
"Agaku, IT and Ayo-Yusuf, OA (2014)",10.1177/1090198113511817,Documents/E-cigarette citation library.Data/PDF/1406946124/10.1177_1090198113511817-2014.pdf,The Effect of Exposure to Pro-Tobacco Advertising on Experimentation With Emerging Tobacco Products Among U.S. Adolescents,Health Education and Behavior,1,Journal article,t reflect the official policies or posi   tions of the Centers for Disease Control and Prevention   Declaration of Conflicting Interests  The authors declared no potential conflicts of interest with respect to   the research  authorship  and or publication of this article   Funding  The authors received no financial support for the research  author   ship  and or publication of this article   References
"Cataldo, JK et al. (2015)",10.5993/AJHB.39.3.9,Documents/E-cigarette citation library.Data/PDF/3429207083/10.5993_AJHB.39.3.9-2015.pdf,E-cigarette marketing and older smokers: Road to renormalization,American Journal of Health Behavior,1,Journal article,"g areas and as an aid to smoking cessation    Correspondence Dr Cataldo  janine cataldo ucsf edu    Conflict of Interest Statement  The authors declare that there is no conflict of interest   Human Subjects Approval  The institutional review board at the University of California  San Francisco approved this study   HHS Public Access  Author manuscript  Am J Health Behav  Author manuscript  available in PM
hese statistics   reflect both the marginalization of older smokers by society and tobacco research funding 8   and the fact that older smokers are targeted by an aggressive tobacco industry 9 Older   smokers frequently face economic and social disadvantages  yet  they are often ignored in   discussions of marginalized populations impacted by tobacco 10â  13  Because older smokers underestimate both the "
"Chaloupka, FJ and Tauras, JA (2011)",10.1136/tobaccocontrol-2011-050235,Documents/E-cigarette citation library.Data/PDF/3100063270/10.1136_tobaccocontrol-2011-050235-2011.pdf,The power of tax and price,Tobacco Control,1,Journal article,
"Oncken, C et al. (2013)",10.1080/1462220042000282555,Documents/E-cigarette citation library.Data/PDF/3637812985/10.1080_1462220042000282555-2004.pdf,"Gender effects of reported in utero tobacco exposure on smoking initiation, progression and nicotine dependence in adult offspring",Nicotine and Tobacco Research,1,Journal article,
"Oncken, C et al. (2014)",10.1080/1462220042000282555,Documents/E-cigarette citation library.Data/PDF/3637812985/10.1080_1462220042000282555-2004.pdf,"Gender effects of reported in utero tobacco exposure on smoking initiation, progression and nicotine dependence in adult offspring",Nicotine and Tobacco Research,1,Journal article,
"Chapman, S and Fitzgerald, B (1982)",10.2105/AJPH.72.5.491,Documents/E-cigarette citation library.Data/PDF/1122794078/10.2105_AJPH.72.5.491-1982.pdf,Brand preference and advertising recall in adolescent smokers: Some implications for health promotion,American Journal of Public Health,1,Journal article,
"Charlton, A (1986)",10.1177/001789698604500204,Documents/E-cigarette citation library.Data/PDF/2768642780/10.1177_001789698604500204-2016.pdf,Children's advertisement-awareness related to their views on smoking,Health Education Journal,1,Journal article,
"Feighery, EC et al. (2008)",10.1080/14622200601004125,Documents/E-cigarette citation library.Data/PDF/1076462158/10.1080_14622200601004125-2006.pdf,An evaluation of four measures of adolescents' exposure to cigarette marketing in stores,Nicotine and Tobacco Research,1,Journal article,
"Freeman, B and Chapman, S (2007)",10.1136/tc.2007.020024,Documents/E-cigarette citation library.Data/PDF/0975890476/10.1136_tc.2007.020024-2007.pdf,"Is ""YouTube"" telling or selling you something? Tobacco content on the YouTube video-sharing website",Tobacco Control,1,Journal article,"n Chapman  The University of Sydney  Sydney  New  South Wales  Australia  Competing interests  None declared   REFERENCES  1 Carter SM  Going below the line  creating transportable brands for Australiaâ  s  dark market  Tob Control 2003 12 Suppl 3  iii87â  94   2 Darling H  Reeder AI  Use of tobacco products to advertise music events in  Dunedin  New Zealand  2003  Tob Control 2004 13 243   3 Carter S  
â  â  that the packaging of every tobacco  product includes a suitable warning text and a contents  declarationâ  â    The video most certainly encourages people to  take up snus  and contains no information about possible health  effects or addiction   Entering â  â  snusâ  â   into YouTubeâ  s search engine yielded 176  videos  One apparently amateur production  http   www you   tube com watch v   6Lc"
"Ganz, O et al. (2015)",10.1136/tobaccocontrol-2013-051337,Documents/E-cigarette citation library.Data/PDF/0127431744/10.1136_tobaccocontrol-2013-051337-2015.pdf,Electronic cigarette advertising at the point-of-sale: A gap in tobacco control research,Tobacco Control,1,Journal article,
"Gilpin, EA and Pierce, JP (1997)",10.1136/tc.6.2.122,Documents/E-cigarette citation library.Data/PDF/0681161611/10.1136_tc.6.2.122-1997.pdf,Trends in adolescent smoking initiation in the United States: Is tobacco marketing an influence?,Tobacco Control,1,Journal article,
"Grace, RC et al. (2015)",10.1093/ntr/ntu268,Documents/E-cigarette citation library.Data/PDF/3022462367/10.1093_ntr_ntu268-2015.pdf,Estimating cross-price elasticity of e-cigarettes using a simulated demand procedure,Nicotine and Tobacco Research,1,Journal article,"on as substitutes for tobacco  while   reducing the prevalence of smoking and nicotine dependence   Funding  This research was funded by a grant from the Canterbury Community Trust    10 March  2012   and was one project being undertaken as part of New   Zealandâ  s Tobacco Control Research TÅ ranga  AÂ  programme of innovative   research to halve smoking prevalence in Aotearoa New Zealand within a dec  
 ade  The TÅ ranga is supported through funding from the Reducing Tobacco   related Harm Research Partnership co funded by the Health Research Council   and the Ministry of Health of New Zealand  HRC grant 11 818    Declaration of Interests  None declared   Acknowledgments  We thank A Â Richardson  M Â Nicholson  D Â Ritchie  C Â Botros and N Â "
"Hastings, GB et al. (1994)",10.1136/bmj.309.6959.933,Documents/E-cigarette citation library.Data/PDF/0616755255/10.1136_bmj.309.6959.933-1994.pdf,Cigarette advertising and children's smoking: Why Reg was withdrawn,BMJ,1,Journal article,
"Jo, CL et al. (2016)",10.1136/tobaccocontrol-2015-052260,Documents/E-cigarette citation library.Data/PDF/1710221229/10.1136_tobaccocontrol-2015-052260-2016.pdf,Price-related promotions for tobacco products on Twitter,Tobacco Control,1,Journal article,dings  revised  the manuscript for important intellectual content  and approved the final version   Funding This work was supported by grant number CA154254 from the National  Cancer Institute at the National Institutes of Health   Competing interests KMR is a Special Government Employee and member of the  Tobacco Products Scientific Advisory Committee for the FDA Center for Tobacco  Products  and CLJ is
"Kamerow, D (2014)",10.1136/bmj.g5810,Documents/E-cigarette citation library.Data/PDF/0537872145/10.1136_bmj.g5810-2014.pdf,The battle between big tobacco and vape shops: Despite vigorous promotion e-cigarette sales seem to be going down,BMJ (Online),1,Journal article,tine vapor products of all types and to  research their uses and abuses   Competing interests  None declared   Provenance and peer review  Commissioned  not peer reviewed   1 American Council on Science and Health  NY Senate committee hears one side of e cigs  â œdebate â   Who will win  dâ  ya think  2014  http   acsh org 2014 05 ny senate committee   hears one side e cigs debate will win dya think    
"Kim, AE et al. (2015)",10.1136/tobaccocontrol-2013-051298,Documents/E-cigarette citation library.Data/PDF/0039749479/10.1136_tobaccocontrol-2013-051298-2015.pdf,Crowdsourcing data collection of the retail tobacco environment: Case study comparing data from crowdsourced workers to trained data collectors,Tobacco Control,1,Journal article,the manuscript  DD conducted the analysis and  contributed to writing and revising the manuscript   Funding This work was funded as part of RTI Internationalâ  s evaluation of the  Florida Department of Healthâ  s Bureau of Tobacco Free Florida   Competing interests None   Provenance and peer review Not commissioned  externally peer reviewed   REFERENCES  1 Federal Trade Commission  Cigarette reports for
"King, AC et al. (2015)",10.1136/tobaccocontrol-2014-051563,Documents/E-cigarette citation library.Data/PDF/0476232005/10.1136_tobaccocontrol-2014-051563-2015.pdf,Passive exposure to electronic cigarette (E-cigarette) use increases desire for combustible and e-cigarettes in young adult smokers,Tobacco Control,1,Journal article,nd DJF contributed to study  design  data interpretation and drafting and revising the manuscript   Funding This work was supported by the National Cancer Institute grant   P30 CA14599  the National Institute on Alcohol Abuse and Alcoholism grant   R01 AA013746  ACK  and the National Institute on Drug Abuse grant    R01 DA023935  AKM    Competing interests ACK has provided consultation to the US Food and
"Lam, TH et al. (1998)",10.1016/S0749-3797(97)00071-8,Documents/E-cigarette citation library.Data/PDF/2689777124/10.1016_S0749-3797(97)00071-8-1998.pdf,Tobacco advertisements: One of the strongest risk factors for smoking in Hong Kong students,American Journal of Preventive Medicine,1,Journal article,
"Lee, YO and Kim, AE (2015)",10.1136/tobaccocontrol-2013-051437,Documents/E-cigarette citation library.Data/PDF/1029701550/10.1136_tobaccocontrol-2013-051437-20151.pdf,‘Vape shops’ and ‘E-cigarette lounges’ open across the USA to promote ENDS,Tobacco Control,1,Journal article,an com 2013 9 13 259127 New E Cigarette Store Opens On Vine aspx  9 Beech H  New vaping shops spark conflict over e cigs  Ida Press Trib  Internet    2013 October 22  cited 2013 November 6   http   www idahopress com members   new vaping shops spark conflict over e cigs article_cc4b3724 3adb 11e3 a12b   0019bb2963f4 html  10 Matteson C  E cigarette shops host lounging vapers  Internet   Columb  Telegr    
"Luo, C et al. (2014)",10.1186/1471-2458-14-1028,Documents/E-cigarette citation library.Data/PDF/1979517015/10.1186_1471-2458-14-1028-2014.pdf,Portrayal of electronic cigarettes on YouTube,BMC Public Health,1,Journal article," a video  promoted a specific brand and had high production quality  and or if the video explicitly declared that it was produced  by a professional organization  it was determined to be  professional  Otherwise  the video was coded as amateur   Additionally  to gain a sense of the target audience  the  demographic characteristics of the most prominent person   i e   the messenger  in the â œproâ   vide
s are concerned about  product safety and toxicity  24   Currently  there is only  very limited and conflicting data on toxicity  carcinogen   icity and infectivity of the e cigarette cartridges or vapors  Luo et al  BMC Public Health 2014  14 1028 Page 6 of 7  http   www biomedcentral com 1471 2458 14 1028 22   The regulatory agencies are also concerned about the  quality control  since the performance o
0004801  The Early Career Development  Award of SKLMCCS  and by the Grant No  2013A127  All authors declare that  they have no competing interests   Authorsâ   contributions  CL and DDZ conceived the idea for this study  CL designed the study   conducted the data analysis and wrote the manuscript  XZ and DDZ  contributed to the manuscript and interpretation of study findings  SL  contributed to the manu"
"Maloney, EK et al. (2016)",10.1080/10410236.2014.993496,Documents/E-cigarette citation library.Data/PDF/2302974962/10.1080_10410236.2014.993496-2016.pdf,"Does Vaping in E-Cigarette Advertisements Affect Tobacco Smoking Urge, Intentions, and Perceptions in Daily, Intermittent, and Former Smokers?",Health Communication,1,Journal article,
"McNeill, A et al. (1985)",10.1016/S0140-6736(85)90315-0,Documents/E-cigarette citation library.Data/PDF/0192377242/10.1016_S0140-6736(85)90315-0-1985.pdf,BRAND PREFERENCES AMONG SCHOOLCHILDREN WHO SMOKE,The Lancet,1,Journal article,
"Paek, HJ et al. (2014)",10.1080/10810730.2013.821560,Documents/E-cigarette citation library.Data/PDF/4294805776/10.1080_10810730.2013.821560-2014.pdf,"Reduced harm or another gateway to smoking Source, message, and information characteristics of E-cigarette videos on YouTube",Journal of Health Communication,1,Journal article,
"Pierce, JP et al. (1998)",10.1001/jama.279.7.511,Documents/E-cigarette citation library.Data/PDF/1833116333/10.1001_jama.279.7.511-1998.pdf,Tobacco industry promotion of cigarettes and adolescent smoking,Journal of the American Medical Association,1,Journal article,mpleted  for a total of 5531  response rate  80 3    of these adolescents  Initially  there was  no funding support for a follow back sur   vey and parents were informed only that  we might contact them again in the fu   ture  When separate funding was ob   tained  we attempted to contact the par   ents of all adolescent respondents to the  1993 survey  Those who were not at the  same telephone number we
"Pierce, JP et al. (1994)",10.1001/jama.1994.03510320048028,Documents/E-cigarette citation library.Data/PDF/4240786495/10.1001_jama.1994.03510320048028-1994.pdf,"Smoking Initiation by Adolescent Girls, 1944 Through 1988: An Association With Targeted Advertising",JAMA: The Journal of the American Medical Association,1,Journal article,
"Potts, H et al. (1986)",10.1093/her/1.3.195,Documents/E-cigarette citation library.Data/PDF/2634257553/10.1093_her_1.3.195-1986.pdf,Adolescent smoking and opinion of cigarette: Advertisements,Health Education Research,1,Journal article,
"Sanders-Jackson, AN et al. (2015b)",10.1093/ntr/ntx024,Documents/E-cigarette citation library.Data/PDF/0392586869/10.1093_ntr_ntx024.pdf,"Corrigenda: Knowledge about e-cigarette constituents and regulation: Results from a national survey of U.S. young adults [Nicotine &amp; Tobacco Research, 17, 10, (2014) (1247-1254)] DOI: 10.1093/ntr/ntu276",Nicotine and Tobacco Research,1,Journal article,
"Schooler, C et al. (1996)",10.2105/AJPH.86.9.1216,Documents/E-cigarette citation library.Data/PDF/3200002911/10.2105_AJPH.86.9.1216-1996.pdf,Seventh graders' self-reported exposure to cigarette marketing and its relationship to their smoking behavior,American Journal of Public Health,1,Journal article,
"Sussman, S et al. (2016)",10.1177/0163278715586295,Documents/E-cigarette citation library.Data/PDF/0196157923/10.1177_0163278715586295-2016.pdf,Commentary: Forces That Drive the Vape Shop Industry and Implications for the Health Professions,Evaluation and the Health Professions,1,Journal article, health surveillance and policies that address this  critical segment of the nicotine marketplace   Declaration of Conflicting Interests  The author s  declared no potential conflicts of interest with respect to the research   authorship  and or publication of this article   386 Evaluation   the Health Professions 39 3   Funding  The author s  disclosed receipt of the following financial support for the
"Sussman, S et al. (2014)",10.1186/s12971-014-0022-7,Documents/E-cigarette citation library.Data/PDF/1904158624/10.1186_s12971-014-0022-7-2014.pdf,Consumers' perceptions of vape shops in Southern California: An analysis of online Yelp reviews,Tobacco Induced Diseases,1,Journal article,l file 2  Examples of Flavors and Hardware Mentioned at  the Shops Competing interests  The authors declare that they have no competing interest   Authorsâ   contributions  SS took a lead role in the study concept and design  write up of the manuscript   and he was PI of the pilot project  RG took a lead role in the data analysis   interpretation of the data  and write up of the Analysis and Results  TB
"Tan, AS et al. (2105a)",10.1136/bmjopen-2014-007134,Documents/E-cigarette citation library.Data/PDF/0574303042/10.1136_bmjopen-2014-007134-2015.pdf,Is exposure to e-cigarette communication associated with perceived harms of e-cigarette secondhand vapour? Results from a national survey of US adults,BMJ Open,1,Journal article,ted the  results and drafted the paper  ASLT is responsible for the overall content as  guarantor   Funding Data for this research came from the Annenberg National Health  Communication Survey  supported by the Annenberg School at the University  of Pennsylvania and the University of Southern California  ASLT conducted  this work while a postdoctoral fellow at the Center of Excellence in Cancer  Communic
